video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"p3AMs26ll80","這群人 TGOP │哥跟姐的經典語錄 feat.劉書宏 Classic Quotations for Brothers and Sisters","2020-11-15T10:31:09Z","UC6FcYHEm7SO1jpu5TKjNXEA","這群人TGOP","24","20.16.11","這群人|TGOP|搞笑影片|This|Group|Of|People|茵聲|展榮|許展瑞|董仔|董芷涵|尼克|木星|娛樂|惡搞|石頭|喜劇演員|搞笑團體|youtube 廣告|好笑|影片|訂閱|有趣|趣味|戲劇|客串|翻唱|超瞎|cover|feat.|經典語錄|瘋狂|職人|韓流|許展榮|王士維|牧昕|林牧昕|鄭茵聲|張佑維|戲劇","727305","22194","324","1258","https://i.ytimg.com/vi/p3AMs26ll80/default.jpg","False","False","江湖在走，「哥姐」要有？日常生活中，總會時不時遇到一群人，他們雖然有名字，卻更常被尊稱為「＊＊哥」或「＊＊姐」。他們常有個共通點：年紀比你大一些，或資歷比你大一些；更有趣的是，他們的行為模式竟然也有某種程度相似。這集「這群人」爆笑演繹「哥姐行為學」，究竟跟你記憶中的哥、姐模樣，是否雷同呢？#哥姊SOP #經典語錄 #這群人 成為這個頻道的會員並獲得獎勵：https://www.youtube.com/channel/UC6FcYHEm7SO1jpu5TKjNXEA/join【這群人2019周邊商品熱賣中】https://www.3one.com.tw/【也有蝦皮可以訂購喔！】https://shopee.tw/tgop77支持群人  訂閱訂起來➔ https://tgop.pse.is/GWAQ6A Day To Remember 播放清單 經典語錄系列➔  https://tgop.pse.is/M3HAM來看這群人更多日常生活 ➔ https://tgop.pse.is/KZPB2群人製作的都在這➔ https://tgop.pse.is/KB5Z4演出：網路搞笑團體「這群人」This Group Of People a.k.a. TGOP。註：戲劇效果、激動演出。請調整為1080pHD觀看品質較高。Facebook這群人：https://tgop.pse.is/K7SE2展榮展瑞：https://tgop.pse.is/MGXKV茵聲：https://tgop.pse.is/LEVZ5董仔：https://tgop.pse.is/MDX52石頭：https://tgop.pse.is/LZS6Y尼克：https://tgop.pse.is/HJB2Z木星：https://tgop.pse.is/MC3JLInstagram這群人：https://tgop.pse.is/KE6S9展榮：https://tgop.pse.is/MJER2展瑞：https://tgop.pse.is/MEVXJ茵聲：https://tgop.pse.is/KFWEX尼克：https://tgop.pse.is/M4GAE董仔：https://tgop.pse.is/MNY8W木星：https://tgop.pse.is/KMBXE石頭：https://tgop.pse.is/MSNET這群人bilibili： https://tgop.pse.is/M79UP這群人微博： https://tgop.pse.is/MLT7Q【兩班半攝影棚開幕啦】 https://www.17hrs.com.tw/【三花自創品牌3.one 夏季新品上市啦！】https://www.3one.com.tw【工作邀約請洽詢】 聯絡信箱 ：thisgroupofpeople@gmail.com"
"jI-SUBh_lhY","【尊】我買了號稱台灣最難吃的糖果來試試!?","2020-11-14T09:54:03Z","UC6VKHP606ee6ffKwKmBHSig","人生肥宅x尊","22","20.16.11","[none]","263851","8586","438","1331","https://i.ytimg.com/vi/jI-SUBh_lhY/default.jpg","False","False","讓小孩擁有美好的童年▶追蹤我的頻道:https://goo.gl/m6JJRm▶第二頻道(日常,遊戲,公仔開箱): https://goo.gl/x7k59m▶廢文日常系列:https://goo.gl/CesaUA≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※從不要給他們吃奇怪的糖果開始≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※▶我的facebook專頁：https://www.facebook.com/loserZUN▶我的IG：https://www.instagram.com/loserzun/▶觀看更多影片：https://goo.gl/KhqZxi▶上一部影片：https://youtu.be/NRRjdXfO0bQ▶同系列推薦影片：https://youtu.be/jksayxrcLog≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※≡※▶任何重要事情請寄信至:just8080666@gmail.com"
"WNJYh9TgN-Y","目前最值得反思的一期，米爾格拉姆 | 老高與小茉 Mr & Mrs Gao","2020-11-11T12:00:26Z","UCMUnInmOkrWN4gof9KlhNmQ","老高與小茉 Mr & Mrs Gao","24","20.16.11","米爾格拉姆|權力服從|心理實驗|五歲抬頭團|權威","2281888","55040","1266","8133","https://i.ytimg.com/vi/WNJYh9TgN-Y/default.jpg","False","False","【加入會員按鈕】https://www.youtube.com/channel/UCMUnInmOkrWN4gof9KlhNmQ/join【出賣靈魂按鈕】https://goo.gl/VhzZeS------------------------------------------------相關鏈接：【震撼】2045年，人類究竟是滅絕還是成神https://www.youtube.com/watch?v=WY4XLDBDyuk出賣靈魂的正確方法，魔鬼聖經https://www.youtube.com/watch?v=0vomd4ymSLc【一個人不要看】至少需要4個人一起看的影片https://www.youtube.com/watch?v=nAc6sGXLueY【震撼】地球歷史的最大謎團，大洪水https://www.youtube.com/watch?v=w69h0zCso-o人類不能知道的秘密，人族的故事https://www.youtube.com/watch?v=JVOzntXOGRc地球監獄說，其實人類的祖先是星際囚犯，咱們都在地球上改造https://www.youtube.com/watch?v=-WhhhLTH1yk中國古代全都是外星人，而且和蘇美神話居然是一樣的https://www.youtube.com/watch?v=nPnNQNCoC9M生命起源，地球上的生命究竟是如何產生的https://www.youtube.com/watch?v=bJHhrpYbGgQ人類史上最強大的武器不是板凳，而是櫃子https://www.youtube.com/watch?v=I70Vd2IObPQ量子力學與平行宇宙與你https://www.youtube.com/watch?v=QcySV8ZKFGg來自宇宙深處的非自然信號與黑暗森林法則https://www.youtube.com/watch?v=XASKCBtiqEM【震撼】舊約聖經中記載的人類起源才是真實的 https://www.youtube.com/watch?v=iEeBnhMadkk地平說，為什麼越來越多人相信地球是平的https://www.youtube.com/watch?v=rDT45Z5Y9e8數千年前就擁有航天技術的瑪雅文明https://www.youtube.com/watch?v=EPivRTYUu6w最強預言家對於2019年的五個預言，前四個都不重要https://www.youtube.com/watch?v=kIR9bEA_8kE【震撼】亞特蘭蒂斯真的找到了，神，真的存在過https://www.youtube.com/watch?v=QbcKVbL3VOQ火星，越看越像尼比魯https://www.youtube.com/watch?v=2GU9kis1hDo100年過去了，還沒有一個地球人能解開這個謎團，伏尼契手稿https://www.youtube.com/watch?v=DVORkf8OWcc人類雖然無法再次登上月球，但卻可以登上太陽的真正原因https://www.youtube.com/watch?v=Ep803Xiso5E【震撼】距離地球最遙遠的人造物，航海家1號https://www.youtube.com/watch?v=UZHGEyCYgTc蘇美王表，一塊石頭揭秘人類誕生的真相https://www.youtube.com/watch?v=Mw-bAl2Tlm0科學證明進化論才是都市傳說，人類才是外星人 https://www.youtube.com/watch?v=BFEakK2FA3s最接近神的男人，特斯拉https://www.youtube.com/watch?v=2QlzgZPxg1c二十世紀最大謎團，通古斯大爆炸https://www.youtube.com/watch?v=wU-GxHtCGgA波羅的海下的巨大圓盤，它在這裡14萬年了https://www.youtube.com/watch?v=QAbx4ruDEm0曼德拉效應，是誰動了我的記憶https://www.youtube.com/watch?v=5x9mNMnG9lY谷歌的時間機器和三個時間旅行者https://www.youtube.com/watch?v=yDO7oZLpXL0------------------------------------------------推薦播放列表：【未來】https://goo.gl/Bq54h5【傳說】https://goo.gl/CpmK2Y【心理測試】https://goo.gl/wf5dp5【奇趣】https://goo.gl/Tbpiuj"
"jUgvLZv-gEU","【千千進食中】台灣小東南亞！中壢異國美食吃起來！泰國達人來評比！(ft.娘娘)","2020-11-13T13:10:27Z","UC9i2Qgd5lizhVgJrdnxunKw","千千進食中","22","20.16.11","[none]","293062","6322","107","489","https://i.ytimg.com/vi/jUgvLZv-gEU/default.jpg","False","False","三碗豬腳！！！娘娘來了 🤤這次來中壢車站半日遊一波（已經換到新站了哈哈哈專業娘娘幫我調了一碗很泰國小吃的麵吃完整個想去泰國！！！ 🤤＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊《給你滿滿的惘挨豆》【我成立的美食品牌 - 水哦】 http://bit.ly/2Hrqkk4【instagram】https://www.instagram.com/khshu_/【twitter】https://twitter.com/chienshu_tw【FB粉絲團】https://goo.gl/i22cCs 【美拍】https://goo.gl/NPtYfv【微博】https://goo.gl/QxUiBD"
"7uad-8ZppMA","阿啾小劇場-阿啾教召日記（上）｜又要回去當兵了！！｜2020教召全記錄","2020-11-15T10:00:12Z","UCdz-LcN65kBCBrQVGw4ZEmQ","阿啾小劇場","23","20.16.11","阿啾|當兵|教召","128535","5424","58","444","https://i.ytimg.com/vi/7uad-8ZppMA/default.jpg","False","False","嚴重警告：千萬不要不信邪的去點教育召集查詢網站。阿啾2020教召全記錄！再一次回去當兵的體驗是？阿啾蝦皮： https://shopee.tw/shop/8288447訂閱阿啾： https://pse.is/THF88阿啾新貼圖-阿啾貓奴日記｜99與咪醬篇 http://a1.pise.pw/u5jxq加入社團 》https://www.facebook.com/groups/achusan/工商合作：EmmaMail：service@weido.biz電話：（02）2370-0177"
"lnoylH5KMmY","【黃阿瑪的後宮生活】DIY假大腿！拯救奴才的腿！","2020-11-13T10:00:31Z","UCw2W7GIqJNB-UMUxncnMuiw","黃阿瑪的後宮生活","15","20.16.11","[none]","424255","14882","130","1005","https://i.ytimg.com/vi/lnoylH5KMmY/default.jpg","False","False","阿瑪：「誰都不淮跟朕搶～」× 頻道更新為週五晚間六點，不定時發佈其它影片！×訂閱我們：https://goo.gl/5L8xkV阿瑪官網：https://www.fumeanstore.com【陳零九私底下曾為貓大崩潰！】#貓奴聊天室 EP. 4 志銘與狸貓 ft.陳零九、呼呼▶ https://youtu.be/HXhyfVpNrd8- 阿瑪x舞月 桂香蜜荔酒 即日起可以在全家直接向櫃台店員預購喔！ 分類是在年菜單裡～ - 阿瑪x清心福全 聯名合作 即日起到今年12月陸續會有不同杯款登場～ 全台各分店都有喔！ -【近期活動】《不想運動運動會 快閃店》 台北 7/16(四)-8/9(日) 統一時代百貨 7樓 高雄 9/10(四)-10/21(三) 統一夢時代 8樓會館大廳 台南 12/2(三)-2021/1/4(一) 新光三越 西門店本館 6樓 詳情請看 瑪瑪商行粉絲專頁 ▶ https://www.facebook.com/fumeanstore.official/《黃阿瑪相遇1920臺北市》特展2020/8/6-12/31 在台北探索館 1+2F每天09:00~17:00 可免費入場(週一暨國定假日休館)還可以集章換紀念書籤喔~每日限量~-《後宮棒球隊公仔》預購 單盒：https://reurl.cc/pdGEDa 全套七盒(有早鳥優惠喔)：https://reurl.cc/V69bZR--首本圖文漫畫書《貓咪超有事》 台灣：https://reurl.cc/q8zKeg 港澳地區：https://is.gd/QGfNMj 馬新地區：https://is.gd/x5xwc5 ※以上連結皆有送後宮磁鐵乙枚（共七款隨機贈送 ，數量有限送完為止）第六本書《貓咪哪有那麼可愛》台灣：https://www.fumeanstore.com/products/b001000006港澳地區：https://is.gd/3U2z4V馬新地區：https://is.gd/03LkIn-【阿瑪 Line貼圖＆主題】《最新上架》https://reurl.cc/pyxy2e 《更多貼圖》https://reurl.cc/4RY6L2【阿瑪官網-瑪瑪商行】▶ https://www.fumeanstore.com/《最新商品》隨身小包、後背包、麻糬娃娃、阿瑪夏日運動系列耳環、不想運動運動會系列商品【黃阿瑪X春風聯名授權衛生紙】《實體通路》大潤發、愛買、家樂福《PChome》https://goo.gl/oqvSdA （抽取式）                     https://goo.gl/jZqtgB （袖珍包）---【合作邀約/IP聯名授權】fumeanaction@gmail.com （歡迎來信洽談）〔版權所有，非經許可勿轉載至任何平台〕〔領養不棄養〕"
"LnW05q-Zkqs","重考當年國中基測，我現在還上得了台中一中嗎?! | 啾啾鞋","2020-11-14T13:00:05Z","UCIF_gt4BfsWyM_2GOcKXyEQ","啾啾鞋","24","20.16.11","[none]","220902","5745","220","782","https://i.ytimg.com/vi/LnW05q-Zkqs/default.jpg","False","False","心血來潮來寫我當年的國中基測，當時號稱大黑馬的我，時隔12年還上得了台中一中嗎?!支持啾啾鞋▶https://goo.gl/JzXgfv 啾啾鞋整理資料的秘訣 ▶ https://bit.ly/2vi0urX▼啾啾鞋的人氣影片▼《32街的偽鈔天才》偽鈔大師的故事https://youtu.be/9lKe9irDIDwChrome小恐龍的秘密!https://youtu.be/besQJCZ20j4在路上撿到隨身碟，你會...?https://bit.ly/2ytI7E5俄羅斯方塊也有世界冠軍!?https://youtu.be/Dh9VaezvVnUYouTube的自動播放功能，播到最後會看到什麼呢?https://youtu.be/HMxT-MCRmh4牛排的血水不是血!https://youtu.be/-7GjvnJ2PO0背景音樂Background Music:epidemicsound.com粉絲專頁:https://www.facebook.com/chuchushoeTWInstagram:http://instagram.com/chuchushoetwTwitter:https://twitter.com/chuchushoeTWGoogle+:https://plus.google.com/+chuchushoeTW"
"X4NjD9fi-u8","【豆鬥榮 EP12】 死對頭貓咪睡一起　有可能嗎？","2020-11-13T10:00:09Z","UCiXuTOccGliVKpcL1qQWMPg","豆漿- SoybeanMilk","15","20.16.11","豆漿貓|娘娘|宅男|寵物|俊榮|阿晧|工程師|療癒|可愛|萌寵|豆漿|日告晧|喵星人","436365","21815","94","1031","https://i.ytimg.com/vi/X4NjD9fi-u8/default.jpg","False","False","➤成為頻道會員按鈕：https://www.youtube.com/channel/UCiXuTOccGliVKpcL1qQWMPg/join➤訂閱成為漿絲or榮粉按鈕：https://www.youtube.com/channel/UCiXuTOccGliVKpcL1qQWMPg?sub_confirmation=1➤ 豆漿娘娘相關周邊☑  豆漿娘娘周邊：https://shopee.tw/soybeanmilk_cat☑  第一款LINE貼圖-(豆漿本尊)：https://pros.is/RCAXQ☑  第二款LINE貼圖-(豆漿&俊榮本尊)：https://pros.is/J2B6E☑  第三款LINE貼圖-(豆漿&俊榮Q版)：https://pros.is/KVN9X➤協助語言白癡a奴才翻譯影片讓外國朋友認識漿漿！☑ 幫忙上字幕：https://soybeanmilk.pros.si/P6KB7➤豆漿其他出沒的地方：☑ 豆漿臉書：https://www.facebook.com/SoybeanmilkCat/☑ 豆漿IG：https://www.instagram.com/soybeanmilk_cat/?hl=zh-tw☑ 豆漿微博：https://goo.gl/FY8Uc6☑ 豆漿美拍：https://goo.gl/5Aadz6➤豆漿實體信箱，漿絲想讚美娘娘或想說什麼都可以寄信喔：☑中文: 30099 新竹市科學園區郵局第502號信箱☑英文: P.O.BOX 502 Hsinchu Science Park Hsinchu City 30099 Taiwan(R.O.C)➤合作提案或邀約☑信箱： BlueEyeStudioTW@gmail.com#豆鬥榮 #睡一起 #不科學"
"UGep_zjJ-3Y","美國大選重磅爆料，他「安排」選舉結果｜華府百萬人聲援川普｜台灣政府祝賀拜登，慎防社會主義向中共賣台（2020.11.15）｜世界的十字路口 唐浩","2020-11-15T12:15:10Z","UC-A9OzmRcS-SlXIQmvwMf8w","世界的十字路口 唐浩","25","20.16.11","世界的十字路口|唐浩|時事評論|美國|中國|中共|習近平|世界的十字路口 唐浩|世界十字路口|川普|China|特朗普|美國大選|人生的十字路口|透視共產黨|疫情|蓬佩奧|美中|蔡英文|唐浩 世界的十字路口|武漢肺炎|中國經濟|中国经济|李克強|世界十字路口 唐浩|唐浩 分析|唐浩 評論|唐浩 觀點|唐浩 解析|TangHao|十字路口 唐浩|美國總統大選|拜登|杭特拜登|電腦門|電郵門|希拉里|共和黨|民主黨|紐約時報|賀錦麗|美國總統|白宮|trump","271189","9642","275","1521","https://i.ytimg.com/vi/UGep_zjJ-3Y/default.jpg","False","False","【若需本集節目免翻墻鏈接，請看視頻底下「置頂留言」】00:00 11月15日 影片0:37    話題一：大選舞弊再爆重料 美國民主遭「私有化」13:55  話題二：台灣政府祝賀拜登 慎防社會主義向中共賣台究竟，有哪些公司介入操控這次的美國大選？誰是提前控制選舉結果的幕後主使者？這次美國大選廣泛使用電子投票，為美國民主政治帶來哪些風險？此外，蔡英文政府提前祝賀拜登勝選，是好還是不好？會不會帶來哪些風險？本集節目，與您探討。#拜登 #川普 #蔡英文#真相 #國際視野  #世界的十字路口 #唐浩－－－   左右激戰風蕭葉落滿院秋暮野殘黃一地愁正邪激鬥神魔戰良知北辰解世憂唐浩－－－會員功能開通囉！ 歡迎加入⚖️加入YT會員⚖️： (https://www.youtube.com/channel/UC-A9OzmRcS-SlXIQmvwMf8w/join)🙏 歡迎訂閱 + 按小鈴鐺 🔔：https://bit.ly/SubscribeCrossroadsOfTheWorld（小鈴鐺記得開起“全部”通知）請支持「世界十字路口」： youlucky.com/crossroadtang－－－如果有更多資訊歡迎與我們聯絡： worldcrossroads2019@gmail.com捐款與會員相關問題：crossroadtang@gmail.comBLOG： bit.ly/TangHao-BlogFACEBOOK：facebook.com/TangHao2020/Twitter：https://twitter.com/TangHao_CrossRd影片發布通知群Telegram：https://t.me/crossRoad_TangHao影片發布通知群LINE社群：https://bit.ly/TangHao_LINEPodcast上線：https://anchor.fm/crossroads-tanghaoParler：https://parler.com/profile/crossroadtang/－－－更多內容：透視共產黨欄目：https://bit.ly/3iFuqF0武漢肺炎：http://bit.ly/2UDgS3M走近川普:  http://bit.ly/357SLwN透視中共統戰:  http://bit.ly/30IcUpD香港「反送中」:  http://bit.ly/30NQMdu美中貿易戰:  http://bit.ly/2LNFu4Q2020台灣總統大選:  http://bit.ly/2OrQTJv－－－© All Rights Reserved."
"xwPhEh88I7w","【料理之王】EP4完整版 2分鐘搶食賽 破布子料理讓Jason想起MasterChef總決賽  選手態度輕浮  Fred出聲警告不尊重比賽！｜廚佛瑞德 王凱傑 福原愛 Lulu 劉品言｜CooKing","2020-11-13T13:00:28Z","UCCFBJs1MfK2aFkh9oFbd6Tg","料理之王","24","20.16.11","料理之王|ettoday|王凱傑|Jason Wang|FRED|料理|美食|娛樂星光雲|ETtoday星光雲|星光雲|娛樂|娛樂新聞|ETTODAY|Lulu|LULU黃路梓茵|黃路梓茵|廚佛瑞德|廚佛|Fred|福原愛|全聯先生|邱彥翔|廚藝選秀節目|選秀|料理週記|首席導師|Jason|ふくはら|あい|愛醬|小愛|料理之王線上看|料理之王4|料理之王完整版|飛行導師|fred吃上癮|廚神當道|masterchef|型男大主廚|歐家瑋|陳首宏|梁一貞|安妮|周皓軒|游星淵|黃晶晶|鄧惠文|陳姿靜|阮紹榮|洪士元|祕魯太泰|料理123|料理123小編|吃上癮|CooKing|懶人料理|吳貞蓁|熊以馨|陳思吟|陸巧因|克里斯丁|鄭百成|施捷夫|陳柏翔|呂政緯|好吃Mana|Ting's Bistro克里斯丁|張傑|cyndi|火山烏骨雞|石斑魚|烏骨雞|萬里蟹|高接梨|真空料理|劉品言|言言|雪白桂花蟹|萬里蟹料理|秋蟹|花蟹|鍋塌豆腐","181428","1272","465","1139","https://i.ytimg.com/vi/xwPhEh88I7w/default.jpg","False","False","訂閱《料理之王》頻道:https://bit.ly/32n7bIS全新廚藝節目《料理之王》每周五晚上9:00於料理之王、播吧Youtube頻道首播。EP4分段重點：00:42 賽制、飛行導師介紹03:25 火山烏骨雞：洪士元、歐家瑋、路巧因、游星淵23:28 永安龍虎斑：林立群、安妮、黃晶晶、周皓軒41:15 萬里蟹：陳柏翔、吳貞蓁、施捷夫、陳思吟01:01:01 高接梨：阮紹榮、呂政緯、陳首宏、林聖智01:16:47 搶救待定選手Part101:19:53 雪白桂花蟹：楊詠帆、陳姿靜 Fred的選擇是？01:21:07 魯菜鍋塌豆腐：Cyndi、鄧惠文01:31:31 搶救待定選手Part201:34:49 下集預告01:35:17 料理週記★ 更多精彩綜藝推薦 Watch More★ 《Fred吃上癮》https://bit.ly/3o2yClk《佛瑞德遊記》https://bit.ly/3770n5X《這就是街舞S3》https://bit.ly/37braOD《這就是街舞S2》https://bit.ly/2WRAdzK 《聲林之王1》https://bit.ly/2GNQGNK《聲林之王2》https://bit.ly/2Hqpp2g 《星光雲！RUN新聞》 https://bit.ly/2TeoiKo 《少年之名》https://bit.ly/3o2z6b8《這就是原創》 https://bit.ly/2u0Ptu3 《這就是灌籃》https://bit.ly/2GwyzfU 《了不起的長城》https://bit.ly/2FsvutP 《演技派》https://bit.ly/33DI9Vh 《真相吧！花花萬物》https://bit.ly/2VpHIte#料理之王 #Fred #JasonWang王凱傑 #福原愛 #劉品言"
